,NK,Fibro,EpiT,Mast,Macro,Granulo,DC,Tgd,TCD4,Epi,Endo,Peri,SmoothMuscle,TZBTB16,TCD8,ILC,B,Plasma,Mono,Schwann
CSF2,0.211466139425441,0.0260195417856354,0.0125440633200623,0,0,0,0,0,0.357966867714695,0,0.0399679907352438,0,0,0.252063447311554,0.124017716031688,6.23604355533419,0,0,0,0
IL5,0,0.0241152220653442,0,0.694588770661136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL13,0,0,0,0.147966125164779,0.00642512448689404,0,0,0,0.20571329565579,0,0.0381244651525535,0,0,0,0.164414095213406,0,0,0,0,0
CTC-350I8.1,0,0,0,0,0.0281865580729846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2410N18.3,0,0,0.0187730254704863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304680077540976,0,0,0.0319477648658235
CTB-138E5.1,0,0,0,0,0.0188998752527928,0,0.0655505338540231,0,0,0,0,0,0,0,0,0,0,0,0.050428940748779,0
CXCL14,0,8.42301670656385,0.899437926623119,0,0.0976668753471538,0,0.0676268467704871,0,0,0.0711462737881893,0.0201000628334301,0.158373559265681,0,0,0.310824487517755,0,0,0.117819157056643,0.067550711989242,0
MYOT,0,0.0205343381105209,0.0342201901440216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72854875930801
PKD2L2,0,0,0,0,0.047192216551324,0,0,0,0,0,0.0519393025194061,0.00938918948550126,0,0,0,0,0,0,0,0.0281551679962913
GFRA3,0,0,0,1.52415476554666,0,0,0,0,0,0,0.00421530393231957,0,0,0,0,0,0,0,0,4.57476035672463
EGR1,1.91660692708799,7.35001730103461,6.56794093322958,9.01284319886212,4.12009698529532,10.0138895099397,1.83551406661722,1.27132804562707,1.86713796519028,5.06502963162861,6.08499388447266,7.31654360511765,11.3412075338185,1.50111452489188,1.50453781719949,7.88667997503748,2.63925690220597,4.31578468418297,5.61912954165128,4.09353704135672
MZB1,1.07369347679357,0.191149156834927,0.109707258601939,0.165624333965688,0.197536012286827,0,1.96953842017195,2.41740543182456,0.714476740715385,0.286952324454065,0.18906693880128,0.0892153022869026,0.126018266068936,1.72557389575699,1.12029152186676,0,4.75336335727996,31.0359336926334,0.347779633461227,0.103055149560509
ECSCR,0,0,0.0420379227748997,0,0,0,0,0,0.0763814261460091,0,8.05977075119187,0,0.0341366721072859,0.0722561001293266,0,0,0,0,0.0359616603182774,0.0827887841284311
CTB-35F21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164243769950457,0,0,0,0,0,0
CTB-35F21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620949729908578,0,0,0,0,0,0.0490351886472785
HBEGF,0.163173137836581,0.171544577839309,2.19308017470577,0,2.28662989815146,1.18139783875753,1.37044482316594,0,0.0819254937054694,1.53249596414454,1.61846456838529,0.313717679659107,0.041135796464862,0,0.245249074092195,0,0,0,5.23416907063557,0.598913650073843
CTC-329D1.2,0.17715017459971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD14,0.0818754786875213,0.356303221947746,0.306382713857864,0.192347322175742,10.092997721554,6.7686378307724,1.4854670494064,0.206648756680737,0.25415427582899,0.454807129573698,0.39043878385743,0.281465759101445,0,0.199043086526989,0.0802437884317955,0.366394473664582,0,0.251696480102574,8.13931352274798,0.453178898375425
VTRNA1-3,0.881460253620586,0.501621275609484,0.157204154397516,0.0796544479714033,0.127453572613054,0,0.00945015973215978,0.437066678920638,1.22312547062428,0.111145356000974,0.36786323382379,0.164583355714218,0.0879717974811457,0.703425298373671,0.384641868468636,0.351111242078324,0,0.445457203110067,0.210591432652552,0
PCDHA10,0,0.0726439712958923,0.0397961186781235,0,0,0,0,0,0,0,0,0,0.0182545833828967,0,0,0,0,0,0,0.0363915298152385
AC005754.8,0,0.0735318049585167,0,0,0,0,0,0,0,0,0,0.0699175923738605,0,0,0,0,0,0,0,0.065229866295451
PCDHB6,0,0.00645424466954559,0,0,0,0,0,0,0,0,0.0174608304006588,0,0.0414940181837022,0,0,0,0,0,0,0.104801525524411
RN7SL791P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370060510710568,0,0,0,0.0665760138644849
STK32A,0,0,0.0123850360610229,0,0,0,0,0,0,0,0,0.00762482687425438,0,0,0,0,0,0,0,0.349182782690071
SPINK1,0,0.119735687540773,11.8229997920737,0.225121049858203,0.257954730299792,0.668005527808005,0.205011270172614,0.122825592856367,0.26143131202416,5.92357806144536,0.106866188312063,0.172439249374569,0.0564973734613183,0.0502905345406143,0.0953984225097501,0.472921541589754,0,1.35079816948251,0.0952391248055232,0.380261465321096
SPINK13,0,0.0272064214229651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2283N19.1,0,0,0,0,0,0,0.0425838249833848,0.167496240425949,0,0,0,0,0,0,0,0,0,0,0,0
ADRB2,1.68357183191004,0.0196914356365049,0.00523877648748506,3.43886900689047,0.187549761263101,0,0.261660948035755,0,0.414700342551676,0,0.957010926235648,0.0120072274227422,0.0233296300468079,0.0815092165376907,0.386673754152038,0,0,0.448042554959494,0.142199247655831,0
MIR143HG,0,2.00733432088386,0.00523877648748506,0,0,0,0,0,0,0.0136951341646775,0.152447982326557,4.4417367910508,6.93673860860949,0.0693720481364626,0,0,0.310047669904689,0,0,0.0384592509362857
SLC26A2,0.782047872641865,0.469832407070011,1.69811580280303,5.86923924247199,0.847226483835811,0,0.438015905600604,0.605924696694661,0.344576623039926,10.7386403234847,1.5707388610107,0.466144876907395,0.633130250362989,0.674403624148795,0.526063332260204,0.777952602949297,0.310047669904689,0.889966674664212,0.648960172315317,0.48151009586248
PDGFRB,0.333398187434744,3.18741594089586,0,0,0.0327721950805849,0,0.203713782638455,0.122825592856367,0.0971325100331807,0,0.833085957991691,9.98124182749196,6.48221391988912,0.258394915875913,0.103548329691458,0,0,0,0,0.297493833504034
CD74,9.9816563980829,1.35638355514889,5.53504786640346,6.06006156426722,19.8067821643536,2.99727629319433,29.9755293632845,11.0699268210959,13.3611742139286,1.94854211006636,12.0372867441832,0.97091596313398,0.492920866371046,10.0814767755899,14.6291070684804,14.7944606768965,34.5359481593975,20.4086082629719,16.1008195099922,7.91838278986052
IRGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650134465717935,0,0,0,0,0,0
