,TNKILC,Strom,Epi,Mast,Myeloid,B,Plasma
CTSS,2.53043900994202,0.949854233380125,6.48066610481377,2.98063789531458,10.2895039834298,6.26846236045314,5.9959045090743
CTSK,0.053591520497233,2.16651928567779,0.0728658617722804,0,0.22426374011036,0,0
LINGO4,0.0537060277602857,0,0.0193816511047714,0,0,0,0
S100A10,8.25369055558279,8.34469018387678,21.9676389684574,5.44280788232257,10.7855789721821,9.34523800590104,3.99082201408503
S100A11,10.0767630871755,9.82875822629031,14.5092759646323,13.7110727446457,14.3817420299921,5.09431081020794,5.6207358943337
S100A9,0.509669413337149,0.187459384528153,0.462895187453967,0.264562930281636,9.02076802101013,0.391625992113774,0.739088477227569
S100A12,0.103678891899486,0.012032052798508,0.00812649217230389,0,1.91347733401639,0,0
S100A8,0.391819503782175,0.124047154176364,0.13814186401035,0.40951986410503,6.73920765294316,0.260161096871128,0
S100A6,13.1024881737798,16.4177171503186,31.7798673769534,18.8663452712065,13.9314507266857,7.28147031119135,9.61627734033936
S100A4,14.338236437056,9.65682667728007,2.50646137599611,18.1492764799782,11.0211419840214,4.08230226345644,7.0061096469641
S100A14,0.422732341280982,0.158359610095309,10.1815905364279,0.280752109442669,0.190928891858446,0.157391752312741,0.332508699813691
S100A1,0,0.705661381491855,0.239536214498133,0,0.0116987112622432,0,0
AQP10,0,0,0,0.33478490925695,0,0,0
RP11-350G8.5,0.0496533563432132,0.0149507310866369,0.00621656260717441,0,0.00510668540528097,0,0
LRRC71,0,0.00499538034337383,0,0,0,0,0
CD1A,0.0327946197402427,0,0,0,0.502104631341542,0,0
CD1C,0.0758363637092082,0.00764145686000271,0,0,1.02389057603288,2.10623137281181,0
CD1E,0,0,0,0,0.922628975559388,0,0
MNDA,0.0987223345773218,0.0955385477485568,0.0287838481415101,0,4.76141735188963,0.797127801688869,0
PYHIN1,3.16153662155953,0.01728402181014,0.0173656552841552,0.0650023671277782,0.098016532401414,1.38974787906741,0.442902561395457
CADM3,0,0.796766537449615,0,0,0,0.199901233525242,0
ACKR1,0,1.19543158321221,0.0151007546142431,0,0.00696597269381016,0,0
FCER1A,0.0381415468651865,0.00112560437163885,0,3.30877551213348,1.30944690527692,0,0.0731968617260956
FCRL6,0.321262975379655,0,0,0,0.00650644522913269,0,0.10476028245989
SLAMF9,0,0.00770141686879859,0.0390039607951973,0.103376799991221,0.356123663302261,0,0
ATP1A2,0.0173119481778793,0.858618327190105,0,0,0.00464834485696357,0.396888469817108,0
ITLN1,0,0.0871983865994765,1.64701508867618,0.0761856263840978,0.0444821200860759,0,0
ADAMTS4,0.0207811563749968,1.79437146449497,0.00583752907575756,0,0.0139183170740159,0,0
FCER1G,6.56963992378095,0.103950637649426,0.153464724561192,15.4043704948597,13.3295167066223,0.304680077540976,0.481964209510054
MPZ,0.0776180735849847,1.46501513373919,0.0424252221867409,0,0.037609969458591,0,0
FCGR2A,0.125096422974272,0.288123529554232,0.113877763980169,0.542112215271793,5.27249448306831,0,0.207160247272579
HSPA6,0.771739872068148,0.16875823504842,0.636857343550846,0.698565137184122,0.96799817919145,0,0.594109093909925
FCGR3A,1.05502620928717,0.0432285612744541,0.0911068796811811,0,3.48772145159908,0.326720561241951,0.309995124905812
FCGR3B,0.106822078270395,0.0185672854300486,0.00654494171838671,0.194106343304803,0.217084395610311,0.199901233525242,0
FCGR2B,0.0367733013930815,0.405510280765163,0.00997801635193763,0,2.01673253570197,1.20790468175792,2.12027320221262
SH2D1B,1.69511184142544,0.00250157936486217,0.0217038614326599,0,0.0221070695217624,0,0.0790131020471796
RGS5,0.016968338826954,5.36064182221044,0.0650770894238105,0.0636961826676905,0.0288855669016329,0,0.157182822635142
RXRG,0,0.28720036832859,0.0220224080894873,0.301600835882536,0,0,0
CD247,8.60534368540731,0.0203676894032081,0.082516668054697,0.132020127460765,0.124557668308474,1.35996936679685,1.09166574351975
RP5-968D22.3,0,0,0.0200722200652318,0,0,0,0
XCL2,3.61862990697647,0,0.0286429414332611,0,0.0164873708788768,0.326720561241951,0
XCL1,2.85365522084046,0.00538018629229215,0,0,0.00854832185292109,0,0.189952927604745
DPT,0,0.782899973917235,0.00679300150718776,0,0,0,0
SELL,0.970947804870811,0.131557478597333,0.0406579193187415,0.278961853771966,1.51489910416263,4.08438757587747,0.189164367172204
SELE,0,0.27869780905851,0.00967943611574875,0,0,0,0
FASLG,2.08419924364803,0,0,0,0.064053618786426,0,0.183773384507069
RP3-471M13.2,0.0188770091709655,0,0,0,0,0,0
RNU6-307P,0.00345356494288716,0,0,0,0,0,0
PAPPA2,0,0.0627020869170292,0,0,0,0,0
RP5-1098D14.1,0,0.0261448893639815,0,0,0,0,0
SNORA67,0,0.0102322132723287,0,0,0,0,0
GLUL,2.34250858778758,2.7631653943779,4.44903756053865,12.7484789499924,8.73867656013334,1.75024305827949,1.28312603428373
RGS16,1.36209409619744,2.56536561156728,0.408124223757756,2.31356245691226,0.147687390043406,2.13615517050421,0.874678444249175
RGS8,0,0.00774737166199499,0,0,0,0,0
NCF2,0.0618203790368353,0.0960486237498298,0.0474946314238803,0.080263316148374,3.42080482454707,0.69373826670967,0
IVNS1ABP,4.06558897875786,1.25417256449391,3.42600252862643,0.753973412569168,3.55303015656733,1.68829221078481,1.67284847615321
GS1-279B7.2,0.0250686582655642,0,0,0,0.0194172692423582,0,0
PRG4,0,0.0218259536948072,0.0107100624426001,0,0,0,0
PTGS2,0.213163885667337,0.300955458875524,0.304821621166738,7.11596410843983,2.66440944722146,0,0.170323455536496
RP5-973M2.2,0,0.0241848302413547,0.00502040540229016,0.228841412309594,0.0424905925730042,0,0
RGS18,0.220142730112658,0.00377967923692572,0,0.0576991908838978,1.26762012201489,0,0.231359318004352
RGS1,16.0771461480891,0.250479257037101,0.272943009436774,18.7048603757188,8.27649950457465,10.6922958906287,18.8751559211897
RGS13,0.151131454672061,0.00214206477822804,0.00667947202041396,7.73946311647257,0.0794641838392509,10.3427772290717,0.664470411346259
RGS2,4.59627173468273,0.931795851748404,0.426918773242566,11.7009675476977,6.27085876091754,4.83462490864119,3.8302233956179
RP11-563D10.1,0.172726080980744,0,0.00528410394690749,0,0,0,0
CFH,0.154407072527283,2.65264894248429,0,0,0.0675815827244322,0,0.0537647074906444
CFHR1,0,0.0650363152023454,0,0,0,0,0
PTPRC,11.3747188497137,0.128224810713526,0.137501153211503,3.76486960153023,6.59133570187959,13.3172852469404,4.65526997749986
SMIM16,0.00345356494288716,0.00179279149260537,0,0,0,0.304680077540976,0.111716149261054
TNNT2,0,0,0.0270634409307481,0,0.0592914840973962,0,0
PHLDA3,0.0883104162938452,2.56990739031669,0.38692518211895,0.281725668727489,0.12037681451086,0,0.221555597313406
LMOD1,0,1.73736712024929,0,0,0,0,0
ELF3,0.35002512586704,0.340286791545799,14.4184831992617,0.689673205324804,0.287491975110955,0,0.628949839074594
PPFIA4,0,0.0170783219178033,0.0019003117451081,0,0.0223377589094856,0,0
CHI3L1,0,0.326035538876218,0.0254263963350656,0,0.384121104753244,0,0
CHIT1,0,0.00274494262911106,0,0,0.190258517826066,0,0
RP11-134P9.1,0.0610605232608612,0.00388177900861884,0.0108298585440598,0.0634994808530968,0.034183186662805,0,0.117819157056643
REN,0,0.0036780233964927,0.0752037659216915,0,0,0,0
CNTN2,0.0199352387408554,0.103113106840162,0.00929765860731943,0.0886097477065738,0.0315907817948223,0,0
KLHDC8A,0,0.105140106707949,0.003495696203539,0,0,0,0
SLC45A3,0,0.0583598440767995,0.271188722963206,3.97334281337772,0.0749584478512468,0.423651561401053,0
PM20D1,0.101678066435989,0,0,0.0576991908838978,0,0,0
C1orf186,0.0116630471711496,0,0,7.2638309677457,0.191781904337532,0,0.94035394641307
IL10,0.209223628799826,0.0148552976062772,0.00671758237907491,0,0.491765984508734,0,0.205179124887291
IL24,0,0.169380756528629,0,0,0,0.386803040743914,0.0715153606468973
PIGR,1.59043367381962,0.790214750681198,17.5146908848708,0.586857725886312,0.534218213106094,1.87070567977395,3.57799058026493
CR2,0.00974899415315012,0.0054552595470368,0.0156100734781966,0,0.0327654003273885,3.49669247506227,0
